entry,isolate,Variant,AOx,cfu,lnCfu
1,EKA44A,atoxigenic,Se_0.0,0.1935,12.17303279
2,EKA44A,atoxigenic,Se_0.0,0.152,11.9316358
13,ESF24B,atoxigenic,Se_0.0,0.1475,11.90158345
14,ESF24B,atoxigenic,Se_0.0,0.2265,12.33050022
25,ESF64A-d2,atoxigenic,Se_0.0,0.03295,10.40274654
26,ESF64A-d2,atoxigenic,Se_0.0,0.2009,12.21056255
43,EKW79B-d2,atoxigenic,Se_0.0,0.09408,11.45190076
44,EKW79B-d2,atoxigenic,Se_0.0,0.2052,12.23174039
55,EML18A,atoxigenic,Se_0.0,0.1653,12.01551728
56,EML18A,atoxigenic,Se_0.0,0.2057,12.23417408
7,EMS29A,toxigenic,Se_0.0,0.363,12.80215811
8,EMS29A,toxigenic,Se_0.0,0.2025,12.21849517
19,ESF61B-d1,toxigenic,Se_0.0,0.2961,12.59845251
20,ESF61B-d1,toxigenic,Se_0.0,0.1488,11.9103584
31,ESF25C,toxigenic,Se_0.0,0.1143,11.64658185
32,ESF25C,toxigenic,Se_0.0,0.1148,11.65094676
37,EKA01A,toxigenic,Se_0.0,0.8692,13.67532853
38,EKA01A,toxigenic,Se_0.0,1.233,14.02496078
49,ELG33C,toxigenic,Se_0.0,0.02498,10.12583078
50,ELG33C,toxigenic,Se_0.0,0.03667,10.50971426
3,EKA44A,atoxigenic,Se_0.40,1.422,14.16757489
4,EKA44A,atoxigenic,Se_0.40,0.5531,13.2232941
15,ESF24B,atoxigenic,Se_0.40,0.2739,12.52051836
16,ESF24B,atoxigenic,Se_0.40,0.7744,13.55984381
27,ESF64A-d2,atoxigenic,Se_0.40,0.1127,11.6324847
28,ESF64A-d2,atoxigenic,Se_0.40,0.118,11.6784399
45,EKW79B-d2,atoxigenic,Se_0.40,0.1031,11.54345467
46,EKW79B-d2,atoxigenic,Se_0.40,0.09833,11.49608445
57,EML18A,atoxigenic,Se_0.40,4.715,15.36625947
58,EML18A,atoxigenic,Se_0.40,2.908,14.88297612
9,EMS29A,toxigenic,Se_0.40,1.707,14.350248
10,EMS29A,toxigenic,Se_0.40,0.5795,13.26992094
21,ESF61B-d1,toxigenic,Se_0.40,0.0978,11.49067986
22,ESF61B-d1,toxigenic,Se_0.40,0.9851,13.80049844
33,ESF25C,toxigenic,Se_0.40,0.6848,13.4368821
34,ESF25C,toxigenic,Se_0.40,1.412,14.1605177
39,EKA01A,toxigenic,Se_0.40,0.827,13.62555997
40,EKA01A,toxigenic,Se_0.40,1.312,14.08706325
51,ELG33C,toxigenic,Se_0.40,0.0388,10.56617553
52,ELG33C,toxigenic,Se_0.40,0.03242,10.3865308
5,EKA44A,atoxigenic,Se_0.86,1.391,14.14553347
6,EKA44A,atoxigenic,Se_0.86,1.612,14.2929862
17,ESF24B,atoxigenic,Se_0.86,0.8112,13.60626991
18,ESF24B,atoxigenic,Se_0.86,1.169,13.97165924
29,ESF64A-d2,atoxigenic,Se_0.86,0.1254,11.73926391
30,ESF64A-d2,atoxigenic,Se_0.86,0.1913,12.16159816
47,EKW79B-d2,atoxigenic,Se_0.86,0.1191,11.68771876
48,EKW79B-d2,atoxigenic,Se_0.86,0.6216,13.34005208
59,EML18A,atoxigenic,Se_0.86,2.286,14.64231412
60,EML18A,atoxigenic,Se_0.86,1.686,14.33786942
11,EMS29A,toxigenic,Se_0.86,1.259,14.04582831
12,EMS29A,toxigenic,Se_0.86,0.09089,11.41740526
23,ESF61B-d1,toxigenic,Se_0.86,0.08664,11.36951688
24,ESF61B-d1,toxigenic,Se_0.86,0.1079,11.58896015
35,ESF25C,toxigenic,Se_0.86,1.154,13.95874473
36,ESF25C,toxigenic,Se_0.86,1.759,14.38025602
41,EKA01A,toxigenic,Se_0.86,0.08238,11.31909797
42,EKA01A,toxigenic,Se_0.86,0.1063,11.57402056
53,ELG33C,toxigenic,Se_0.86,0.09567,11.46866005
54,ELG33C,toxigenic,Se_0.86,0.08557,11.35709003
